PLOTTITLE[average salary for woman], XLEAST[2000], SLOPEY[10], YUNIT[%]	The average salary for woman has grown since 2000 by at least 10 %
YHIGHEST[40], YUNIT[%], T1AY[young people], T1AX[evenings], XHIGHEST[watching tv], YSECOND[30], YUNIT[%], XSECOND[go out], YTHIRD[20], YUNIT[%], XTHIRD[spend time with family], YLEAST[10], YUNIT[%], T0AX[time], XLEAST[reading a book], T1AX[evenings]	40 % of young people spend their evenings watching tv , 30 % prefer to go out , 20 % spend time with family and only 10 % choose to spend time reading a book in the evenings
PLOTTITLE[number of fatal injuries at the pula street factory], YLABEL[number], YHIGHEST[30], XHIGHEST[2012], YSECOND[25], XSECOND[2013], YTHIRD[16], XTHIRD[2014], YFOURTH[15], XFOURTH[2015], YLABEL[figure], YLEASTAPPROX[13], XLEAST[2016]	The chart shows the number of fatal injuries at the pula street factory . \\n The highest number was 30 in 2012 which decreased to 25 in 2013 , 16 in 2014 , 15 in 2015 and the lowest figure was 13 in 2016 .
T1AY[Women], GRHIGHESTSECOND[arts and literature], T1AX[university], XLABEL[departments], GRFOURTHLEAST[mathematics and computer science]	Women are more likely to work in the arts and literature in university departments compared to mathematics and computer science
YLABEL[percentage number of students], T1AB[Lagos state university], T1AY[students], T1AX[chose], T1AY[study], XHIGHEST[medicine], YHIGHESTAPPROX[30.5], YUNIT[%], YLEAST[15], YUNIT[%], T1AY[students], T1AX[chose], XEND[to], T1AY[study], XLEAST[STEM]	The graph shows the percentage number of students at Lagos state university . Most students chose to study medicine with 30.5 % and only 15 % of students chose to study STEM .
PLOTTITLE[number of top 100 universities in each continent], XHIGHEST[America], YHIGHEST[half], T1AY[top], YLABEL[universities], XLEAST[Africa], YLEASTAPPROX[4]	This graph displays the number of top 100 universities in each continent . The data presumably comes from a ranking source but this information is not provided . America has half the top universities , while Africa only has 4 .
PLOTTITLE[representation of minorities in the parliament of Lybia], XSTART[since], XLEAST[1990], XEND[to], XHIGHEST[2019], XLABEL[years], XLEAST[1990 to 1994], YLEASTAPPROX[0.2], YUNIT[%], YLABEL[minorities], XFIFTH[1995 to 1999], YFIFTHAPPROX[2], YUNIT[%], YLABEL[minorities], XFOURTH[2000 to 2004], YFOURTHAPPROX[7.2], YUNIT[%], YLABEL[minorities], XTHIRD[2005 to 2009], YTHIRD[10], YUNIT[%], YLABEL[minorities], XSECOND[2010 to 2014], YSECONDAPPROX[12.4], YUNIT[%], YLABEL[minorities], XHIGHEST[2015 to 2019], YHIGHEST[14], YUNIT[%], YLABEL[minorities], YLABEL[percentage]	This chart shows the representation of minorities in the parliament of Lybia since 1990 to 2019 . \\n In the years 1990 to 1994 there were 0.2 % of minorities , in 1995 to 1999 there were 2 % of minorities , 2000 to 2004 there were 7.2 % of minorities , 2005 to 2009 there were 10 % of minorities , 2010 to 2014 there were 12.4 % of minorities , 2015 to 2019 there were 14 % of minorities . Over the years there is an explicit scene of an increase in percentage .
YHIGHEST[Half], T1AY[top], YLABEL[universities], XHIGHEST[American], YSECOND[30], YUNIT[%], XSECOND[European], XTHIRD[Asia], YTHIRD[20], YUNIT[%], T1AY[top], YLABEL[universities], GRLEASTLEAST[Africa and Australia], YUNIT[amount], GRYLEASTLEAST[5], YUNIT[%]	Half of the worlds top universities are American , followed by 30 % being European . Asia contributes 20 % of the top universities and Africa and Australia contribute the lowest amount with just 5 % each .
PLOTTITLE[median salary for software engineers split by their level of qualifications], XHIGHEST[PhD], T0AB[holders], T1AY[median], YLABEL[salary], XSECOND[Masters], T0AB[holders], XTHIRD[bachelors], XLEAST[Non-degree], T0AB[holders], MULLEASTHIGHEST[half], XHIGHEST[PhD], T0AB[holders]	This graph plots the median salary for software engineers split by their level of qualifications . PhD holders earn the highest median salary , followed by Masters holders , then bachelors . Non-degree holders earn about half what PhD holders do .
PLOTTITLE[what causes obesity in Kirbati], XLABEL[cause of obesity], XHIGHEST[genetic], YHIGHESTAPPROX[40], YUNIT[%], XSECOND[lack of exercise], YSECONDAPPROX[36], YUNIT[%], XLEAST[fast food], YLEASTAPPROX[25], YUNIT[%]	This graph shows what causes obesity in Kirbati . THe most common cause of obesity is genetic with 40 % followed by lack of exercise at 36 % and fast food as 25 %
T1AY[students], XHIGHEST[STEM], XLABEL[subjects], YHIGHEST[50], YUNIT[%], GRSECONDTHIRD[Literature and Medicine], GRYSECONDTHIRD[20], YUNIT[%], XLEAST[philosophy], YLEAST[10], YUNIT[%]	Most students choose STEM subjects at 50 % whilst Literature and Medicine only attract 20 % , and philosophy is least popular at 10 % .
XHIGHEST[PHD], YLABEL[salary], BARSREST[those who do not]	Those who have a PHD do better in terms of salary than those who do not
XHIGHEST[fast food], XLABEL[cause of obesity], XSECOND[genetic factors], XLEAST[lack of exercise]	This chart shows that fast food is the most likely cause of obesity on average , followed by genetic factors , and is least likely to be caused by lack of exercise .
YLABEL[number of fatal injuries], T1AB[pula steel factory], INTERVAL[4], XLABEL[years], XHIGHEST[2012], YHIGHEST[30], YUNIT[fatal injuries], YLEAST[12], YUNIT[fatal injuries], XLEAST[2016]	this chart shows the number of fatal injuries at the pula steel factory has decreased over 4 years . In 2012 , there were 30 fatal injuries and this has reduced year by year , to 12 fatal injuries in 2016 .
YHIGHESTAPPROX[63], YMAG[k], T1AY[median], YLABEL[salary], T1AB[software engineers], XHIGHEST[PhD], YSECONDAPPROX[56], YMAG[k], XSECOND[masters], YTHIRDAPPROX[44], YMAG[k], XTHIRD[bachelor], XLABEL[degree], YLEAST[35], YMAG[k], XLEAST[no degree]	63 k is median salary for software engineers who have a PhD , 56 k for a masters , 44 k for a bachelor degree , but only 35 k with no degree
YLABEL[percentage], PLOTTITLE[women represented in various university departments], T1AY[represented], GRHIGHESTSECOND[literature and arts], XLABEL[departments], GRFOURTHLEAST[computer science and mathematics]	The graph shows the percentage of women represented in various university departments . We can see that they are most represented in literature and arts departments but least represented in computer science and mathematics .
YLABEL[time], T1AY[social media], T1AB[Maputo], XHIGHEST[45-54], XLABEL[age group], T1AY[average], YLABEL[time], YHIGHESTAPPROX[148], YUNIT[minutes], XSECOND[15-24], XLABEL[age group], YSECONDAPPROX[124], YUNIT[minutes], YLABEL[amount of time], XLEAST[35-44], XLABEL[age group], YLEASTAPPROX[68], YUNIT[minutes], XTHIRD[55-64], XLABEL[age group], YTHIRDAPPROX[108], YUNIT[minutes], XFOURTH[25-34], XLABEL[age group], YFOURTHAPPROX[72], YUNIT[minutes]	The chart indicates the time spent on social media in Maputo was greatest in the 45-54 age group showing an average time of 148 minutes . Closely behind were the 15-24 age group at 124 minutes . The least amount of time was spent by the 35-44 age group totalling 68 minutes . The 55-64 age group came in at 108 minutes and the 25-34 age group at 72 minutes .
PLOTTITLE[number of fatal injuries at the Pula Steel factory], XSTART[from], XHIGHEST[2012], XEND[-], XLEAST[2016], XHIGHEST[2012], YHIGHEST[30], YUNIT[fatal injuries], YSECOND[25], XSECOND[2013], XTHIRD[2014], YTHIRD[16], XFOURTH[2015], YFOURTH[15], YUNIT[fatal injuries], XLEAST[2016], YLABEL[number of injuries], YLEAST[12]	This chart shows the number of fatal injuries at the Pula Steel factory from 2012 - 2016 . \\n In 2012 there were 30 fatal injuries . 25 were recorded in 2013 . It decreased further in 2014 at 16 . In 2015 there was just a slight drop at 15 fatal injuries . However in 2016 it shows the lowest number of injuries at 12 .
PLOTTITLE[percentages of minority representation in the parliament of Lybia], XSTART[from], XHIGHEST[1990], XEND[to], XFIFTH[2019], INTERVAL[4], XLABEL[years], YHIGHESTAPPROX[14], YUNIT[%], XHIGHEST[1990-1994], YFIFTH[7], YUNIT[%], XFIFTH[2015-2019]	This chart represents percentages of minority representation in the parliament of Lybia from 1990 to 2019 , in periods of 4 years at a time . We can see that there has been a decrease over time , from almost 14 % in 1990-1994 to almost 7 % in 2015-2019 .
PLOTTITLE[minority representation in the parliament of Lybia], XHIGHEST[Between 1990 and 1994], YLABEL[minority representation], YHIGHEST[13.7], YUNIT[%], XSECOND[between 1995 and 1999], YLABEL[minority representation], YSECOND[12], YUNIT[%], XTHIRD[between 2000 and 2004], YLABEL[minority representation], YTHIRDAPPROX[8.5], YUNIT[%], XFOURTH[Between 2005 and 2009], YLABEL[minority representation], YFOURTHAPPROX[8], YUNIT[%], XLEAST[between 2010 and 2014], YLABEL[minority representation], YLEASTAPPROX[6.2], YUNIT[%], XFIFTH[between 2015 and 2019], YLABEL[minority representation], YFIFTH[7], YUNIT[%]	The bar chart shows minority representation in the parliament of Lybia . Between 1990 and 1994 there was a minority representation of roughly 13.7 % , between 1995 and 1999 there was a minority representation of 12 % , between 2000 and 2004 there was a minority representation of roughly 8.5 % . Between 2005 and 2009 there was a minority representation of just under 8 % , between 2010 and 2014 there was a minority representation of roughly 6.2 % . Finally , between 2015 and 2019 there was a minority representation of just under 7 % .
PLOTTITLE[showing closing stock prices of Akef Inc for the week], YLABEL[closing stock prices], YUNIT[£], YHIGHESTAPPROX[91], XHIGHEST[Monday], YUNIT[£], YLEASTAPPROX[30], XLEAST[Friday]	Bar chart showing closing stock prices of Akef Inc for the week . \\n \\n The closing stock prices decrease as the week progresses ; from £ 91 on Monday , to £ 30 on Friday .
PLOTTITLE[percentage of women representation in different sectors in Benoni], YLABEL[percentage of women representation], XHIGHEST[insurance], YHIGHESTAPPROX[63], YUNIT[%], YLABEL[percentage of women representation], XLEAST[law firm], YLEAST[35], YUNIT[%]	This chart shows a percentage of women representation in different sectors in Benoni . \\n From the chart we see that the highest percentage of women representation is in insurance at 63 % . We can see that the lowest percentage of women representation is in law firm at 35 %
XHIGHEST[Engineering], YLABEL[percentage of woman representation], T1AB[Narvik University], YHIGHEST[70], YUNIT[%], YLABEL[woman representing], XLABEL[course], XLEAST[Literature], YLABEL[percentage of representation], YLEASTAPPROX[22], YUNIT[%]	Engineering has the highest percentage of woman representation at Narvik University with 70 % of woman representing on this course . \\n \\n Literature has the lowest percentage of representation at 22 % .
PLOTTITLE[daily closing prices for Akef Inc stock over a period of a working week], XHIGHEST[Monday], T1AY[stock], YUNIT[£], YHIGHESTAPPROX[90], XSECOND[Tuesday], YUNIT[£], YSECONDAPPROX[70], GRTHIRDFOURTH[Wednesday and Thursday], YUNIT[£], GRYTHIRDFOURTH[60], XLEAST[Friday], YLABEL[price], MULFOURTHLEAST[halving], YUNIT[£], YLEASTAPPROX[30]	The chart shows the daily closing prices for Akef Inc stock over a period of a working week . \\n On Monday the stock closes at over £ 90 , falling on Tuesday to end at under £ 70 . Wednesday and Thursday see a continuing decline to around £ 60 and finally on Friday the price drops significantly , halving to just under £ 30 .
T1AY[top], YLABEL[universities], XHIGHEST[USA], BARSREST[anywhere else]	There are more top universities in USA than anywhere else in the world .
PLOTTITLE[average time spent on social media each day by different age groups in Maputo], XLABEL[group], YLABEL[time], T1AY[social media], YHIGHEST[150], YUNIT[minutes], YHIGHEST[2.5], YUNIT[hours], XHIGHEST[aged 45-54], XLABEL[users], XSECOND[15-24], XLABEL[group], YSECONDAPPROX[2], YUNIT[hours], T1AY[average], T1AY[social media], XLABEL[users], YLABEL[time], GRFOURTHLEAST[25-34 and 35-44], XLABEL[age groups], T1AY[social media], GRYFOURTHLEAST[75], YUNIT[minutes], T1AY[day], T1AY[average], XTHIRD[oldest group], XTHIRD[aged 55-64], T1AY[social media], YTHIRD[110], YUNIT[minutes], T1AY[daily]	This chart shows the average time spent on social media each day by different age groups in Maputo . \\n We can see in the chart that the group that spends the most time on social media - nearly 150 minutes or 2.5 hours - is aged 45-54 . The second highest users are in the 15-24 group which spends about 2 hours on average on social media . The lowest users by time are in the 25-34 and 35-44 age groups , which use social media for around 75 minutes each day on average . The oldest group , aged 55-64 , uses social media for more than 110 minutes daily .
YLABEL[percentage], PLOTTITLE[woman who are representatives in different sectors in Benoni], YLABEL[woman are representative], XHIGHEST[Insurance], YHIGHESTAPPROX[76], YUNIT[%], YLEAST[35], YUNIT[%], YLABEL[woman represented], XLEAST[law firms], YLABEL[representation], XSECOND[tech], YSECOND[62], YUNIT[%], YTHIRD[50], YUNIT[%], XTHIRD[financial groups]	The graph shows the percentage of woman who are representatives in different sectors in Benoni . Most woman are representative in Insurance with 76 % and there are only 35 % of woman represented in the law firms . The second highest representation was tech with 62 % followed by with 50 % in financial groups .
YLABEL[percentage of women], XLABEL[university departments], YLABEL[representation], GRHIGHESTSECONDTHIRD[STEM fields], XHIGHEST[engineering], YLABEL[representation], YHIGHEST[70], YUNIT[%], XSECOND[computer science], YSECOND[60], YUNIT[%], YLABEL[representation], XTHIRD[mathematics], YTHIRDAPPROX[56], YUNIT[%], YLABEL[women represented], YFOURTH[32], YUNIT[%], T1AY[women], T1AY[represented], XFOURTH[Arts], YLEASTAPPROX[24], YUNIT[%], XLEAST[literature], GRFOURTHLEAST[Arts and Humanities], GRHIGHESTSECONDTHIRD[STEM fields]	This chart shows the percentage of women enrolled in university departments . The representation is highest within STEM fields , with engineering showing the highest representation at 70 % , followed by computer science with a 60 % representation and mathematics with 56 % of women represented . Only 32 % of women are now represented in Arts and 24 % in literature , indicating a decline in Arts and Humanities in favour STEM fields
XHIGHEST[america], T1AY[top], YLABEL[universities], YHIGHEST[50], XSECOND[Europe], YSECOND[30], XTHIRD[Asia], YTHIRD[20], GRLEASTLEAST[Africa and Australia], GRYLEASTLEAST[5]	the table shows that america has the most top universities ( 50 ) , followed by Europe ( 30 ) , Asia ( 20 ) , Africa and Australia draw with about 5 each .
YLABEL[closing stock prices], T1AY[Afek Inc], GRHIGHESTSECONDTHIRD[first three days of the week], XFOURTH[Thursday], YLABEL[prices], XLEAST[Friday], XFOURTH[Thursday], YLABEL[price of stock], YUNIT[£], YLEASTAPPROX[9], YLABEL[price], YUNIT[£], YHIGHESTAPPROX[74], XHIGHEST[Wednesday]	The closing stock prices for Afek Inc were on the rise for the first three days of the week , but on Thursday there was a huge drop in the prices . Friday was even worse than Thursday , with the price of stock sitting at just £ 9 , a far cry from the price of £ 74 that they were sitting at on Wednesday .
XHIGHEST[America], XLABEL[continent], YLABEL[universities], T1AY[top 100], YHIGHEST[50], YLABEL[establishments], XSECOND[Europe], YSECOND[30], YLABEL[establishments], XTHIRD[Asia], YTHIRD[20], GRLEASTLEAST[Australia and Africa], GRYLEASTLEAST[5]	America is the continent with most universities in the top 100 table with 50 establishments . Europe comes next with 30 establishments , Asia has 20 , whilst Australia and Africa have only 5 each .
PLOTTITLE[closing stock price of Afek Inc for the week], XTHIRD[Monday], YLABEL[price], YTHIRDAPPROX[50], XSECOND[Tuesday], YSECONDAPPROX[60], XHIGHEST[Wednesday], YHIGHESTAPPROX[74], XFOURTH[Thursday], YFOURTHAPPROX[20], XLEAST[Friday], YLEASTAPPROX[10]	This chart shows the closing stock price of Afek Inc for the week . On Monday the price was just over 50 . Tuesday was just over 60 . Wednesday was around 74 . Thursday showed a huge drop at over 20 and Friday showed the least at below 10 .
PLOTTITLE[what students at Lagos State University choose to study], XLEAST[STEM], XLABEL[subject], XLABEL[choice], YLEAST[15], YUNIT[%], XTHIRD[Literature], YTHIRD[24], YUNIT[%], YSECOND[30], YUNIT[%], T1AY[students], XSECOND[Philosophy], XHIGHEST[medicine], XLABEL[choice], YHIGHEST[31], YUNIT[%]	The chart shows what students at Lagos State University choose to study . \\n \\n STEM subject is the least popular choice with 15 % . \\n Literature 24 % . \\n 30 % of students opted Philosophy and medicine is the popular choice at 31 % .
T1AY[young people], T1AX[evenings], XHIGHEST[watching TV], XLEAST[Reading a book], T1AY[young people], T0AX[time]	The chart shows that the majority of young people spend their evenings watching TV . Reading a book is the least popular way for young people to spend their time
PLOTTITLE[gender pay gap in 2017], COUNT[three], T0AX[European Union], XLABEL[countries], BARNAMES[Germany , Spain and UK], T1AB[year], YLABEL[gender pay gap], GRHIGHESTSECOND[Germany and the UK], GRYHIGHESTSECOND[20], YUNIT[%], XLEAST[Spain], YLEASTAPPROX[15], YUNIT[%]	The chart shows the gender pay gap in 2017 in three European Union countries - Germany , Spain and UK . \\n In that year the gender pay gap is similar in Germany and the UK at just over 20 % . In Spain it stands at 15 % .
PLOTTITLE[representation of women in different sectors in Benoni], YLABEL[representation], YHIGHEST[65], YUNIT[%], XHIGHEST[insurance sector], YSECOND[62], YUNIT[%], XSECOND[tech sector], YTHIRD[50], YUNIT[%], XTHIRD[financial groups], YLEAST[35], YUNIT[%], XLEAST[law firms]	The graph shows the representation of women in different sectors in Benoni . \\n The highest representation was 65 % in the insurance sector followed by 62 % in the tech sector , 50 % in financial groups and finally 35 % in law firms
PLOTTITLE[Causes of obesity in Kiribati], XLABEL[cause], XHIGHEST[genetic], YHIGHESTAPPROX[40], YUNIT[%], GRSECONDLEAST[lifestyle factors], XLABEL[contributor], GRSECONDLEAST[fast food and lack of exercise], XLABEL[cause obesity], GRYSECONDLEAST[60], YUNIT[%], T1AY[cases], XSECOND[lack of exercise], YSECONDAPPROX[35], YUNIT[%], XLEAST[fast food], YLEASTAPPROX[25], YUNIT[%]	Causes of obesity in Kiribati is seen here . The biggest cause is genetic at 40 % . However lifestyle factors are a larger contributor with fast food and lack of exercise combined shown to cause obesity in 60 % of cases . \\n This is broken down into lack of exercise at 35 % and fast food at 25 % .
T1AY[women], T1AY[well represented], XHIGHEST[law firms], YHIGHEST[60], YUNIT[%], XSECOND[Financial groups], YSECOND[40], YUNIT[%], XTHIRD[Insurance], YTHIRD[25], YUNIT[%], XLEAST[Tech], YLEAST[20], YUNIT[%]	The table shows that women are most well represented in law firms ( 60 % ) , followed by Financial groups ( 40 % ) , Insurance ( 25 % ) , and Tech ( 20 % ) .
YHIGHEST[50], YUNIT[%], T1AY[Students], T1AY[study], XHIGHEST[STEM], XLABEL[subjects], MULSECONDHIGHEST[half], YSECOND[20], YUNIT[%], XSECOND[literature], YSECOND[20], YUNIT[%], XSECOND[medicine], XLEAST[Philosophy], YLABEL[numbers chosing], YLEAST[10], YUNIT[%]	50 % of Students chose to study the STEM subjects , less than half that number - 20 % chose literature and 20 % medicine . Philosophy has the least numbers chosing it - 10 %
COUNT[three], PLOTTITLE[causes of obesity in Kiribati], YLABEL[percentage], XLABEL[cause], XHIGHEST[genetic], T1AX[causing], YHIGHESTAPPROX[40], YUNIT[%], XSECOND[lack of exercise], YSECONDAPPROX[35], YUNIT[%], XLEAST[Fast food], T1AX[causing], YLEASTAPPROX[24], YUNIT[%], T0AY[cases]	The graph shows three causes of obesity in Kiribati , as a percentage of incidence . The most common cause is genetic , identified as causing 40 % , with lack of exercise second at 35 % . Fast food is third , causing 24 % of cases .
PLOTTITLE[average time spent on social media in Maputo by age], XLABEL[groups], YLABEL[time], GRFOURTHLEAST[25-34 year olds and 35-44 year olds], GRYFOURTHLEAST[80], YUNIT[mins], XLABEL[use group], XHIGHEST[45-54 year olds], YHIGHEST[150], YUNIT[mins], T1AY[day], T1AY[social media]	This chart shows the average time spent on social media in Maputo by age . The groups that spent least time were the 25-34 year olds and 35-44 year olds who spent under 80 mins . The highest use group was the 45-54 year olds who spent nearly 150 mins per day on social media .
T1AY[median], YLABEL[salary], T1AB[women], XLABEL[year], INTERVAL[5], XLABEL[years], INTERVAL[15], XLABEL[years], ADDHIGHESTLEAST[15], YMAG[,000], YUNIT[dollars]	The median salary of women per year is gradually and steadily rising every 5 years . In the last 15 years it has risen 15 ,000 dollars .
T1AB[Maputo], T1AX[persons], XHIGHEST[45-54], YHIGHEST[150], YUNIT[minutes], T1AY[daily], T1AY[social media], XLABEL[age group], XSECOND[15-24], YSECOND[125], YUNIT[minutes], XTHIRD[55-64], YTHIRD[110], YUNIT[minutes], XFOURTH[25-34], YLEASTAPPROX[75], YUNIT[minutes], XLEAST[35-44]	In Maputo persons of 45-54 spend around 150 minutes daily on social media , more than any other age group . Next are 15-24 with 125 minutes , followed by 55-64 with 110 minutes . 25-34 spend 75 minutes , about the same as 35-44 .
YLABEL[closing stock prices], XSTART[between], XTHIRD[Monday], XEND[and], XLEAST[Friday], GRHIGHESTSECONDTHIRD[3 days], YLABEL[prices], XEND[to], YLABEL[price], YUNIT[£], YHIGHESTAPPROX[74], XHIGHEST[Wednesday], GRFOURTHLEAST[two days], YLABEL[stock prices], YLABEL[price], YUNIT[£], YLEASTAPPROX[9], XLEAST[Friday]	The closing stock prices between Monday and Friday have been unusual . During the first 3 days , the prices seemed to be fairly high being at a price of £ 74 on Wednesday . However , for the next two days it looks like the stock prices dropped dramatically having a price of only £ 9 on Friday .
PLOTTITLE[amount of time in minutes that different age groups in Maputo spend on social media], YLABEL[time], T1AY[social media], T1AY[daily], XHIGHEST[15-24 yrs], YUNIT[mins], T1AY[social media], T1AY[daily], XLEAST[55-64 yrs], YUNIT[mins], T1AY[day]	As you can see this graph shows the amount of time in minutes that different age groups in Maputo spend on social media . \\n \\n The graph shows that the older you are in years the less time you spend on social media daily , for example 15-24 yrs spend 180 mins on social media daily where as 55-64 yrs spend only 70 mins a day .
PLOTTITLE[women representation in different university departments], YHIGHEST[70], YUNIT[%], XHIGHEST[literature], T1AY[woman], YSECOND[60], YUNIT[%], XSECOND[arts], YTHIRD[30], YUNIT[%], XTHIRD[engineering], YFOURTH[20], YUNIT[%], XFOURTH[computer science], YLEAST[10], XLEAST[mathematics]	this chart shows women representation in different university departments showing that 70 % of those who work in literature are woman , 60 % in arts , 30 % engineering , 20 % in computer science and 10 mathematics . contributing and enforcing the stereotype that that heavily intellectual subjects are man dominated and more creative subjects are women areas .
PLOTTITLE[average time (in minutes) spent on social media daily, in Maputo, split by age groups], XLABEL[Ages], XSECOND[15-24], YSECONDAPPROX[122], YUNIT[minutes], T1AY[daily], XLABEL[ages], XFOURTH[25-34], YFOURTHAPPROX[87], YUNIT[minutes], T1AY[daily], XLABEL[ages], XLEAST[35-44], YLEASTAPPROX[83], YUNIT[minutes], T1AY[daily], XLABEL[ages], XHIGHEST[45-54], YHIGHESTAPPROX[144], YUNIT[minutes], T1AY[daily], XLABEL[ages], XTHIRD[55-64], YTHIRDAPPROX[104], YUNIT[minutes], T1AY[daily], XLABEL[ages], XHIGHEST[45-54], YLABEL[time], T1AY[social media], T1AY[daily], YLABEL[amount of time], GRFOURTHLEAST[ages 25-34 and ages 35-44]	The graph depicts average time (in minutes) spent on social media daily, in Maputo, split by age groups . Ages 15-24 spent 122 minutes daily , ages 25-34 spent 87 minutes daily , ages 35-44 spent 83 minutes daily , ages 45-54 spent 144 minutes daily , and ages 55-64 spent 104 minutes daily . Overall , ages 45-54 spent the most time on social media daily , compared to the least amount of time being spent by ages 25-34 and ages 35-44 equally .
YLABEL[pay gap], XHIGHEST[UK], XLEAST[Germany], XSECOND[Spain]	There is a wider pay gap in the UK than Germany or Spain
YLABEL[percentage], PLOTTITLE[women representation in different university departments in Narvik], XSECOND[Computer Science], YSECOND[60], YUNIT[%], XLABEL[department], T1AY[women], XFOURTH[Arts], YFOURTH[32], YUNIT[%], XLABEL[department], T1AY[women], XTHIRD[Mathematics], YHIGHESTAPPROX[66], YUNIT[%], XLABEL[department], T1AY[women], XLEAST[Literature], YLEASTAPPROX[22], YUNIT[%], XLABEL[department], T1AY[women], XHIGHEST[Engineering], YHIGHEST[70], YUNIT[%], XLABEL[department], T1AY[women]	This graph depicts the percentage of women representation in different university departments in Narvik . In Computer Science , 60 % of the department are women , in Arts 32 % of the department are women , in Mathematics 66 % of the department are women , in Literature 22 % of the department are women , and in Engineering 70 % of the department are women .
PLOTTITLE[women representation in different university departments in Narvik], BARNAMES[Computer Science, Arts, Mathematics, Literature and Engineering], XHIGHEST[Engineering], YLABEL[women representation], YHIGHEST[70], YUNIT[%], XSECOND[Computer Science], YSECOND[60], YUNIT[%], XTHIRD[Mathematics], YTHIRD[55], YUNIT[%], XFOURTH[Arts], YFOURTH[32], YUNIT[%], XLEAST[Literature], YLABEL[women representation], YUNIT[%]	This is a chart showing women representation in different university departments in Narvik in Computer Science, Arts, Mathematics, Literature and Engineering . Engineering has the most women representation , according to this chart , with 70 % , closely followed by Computer Science with 60 % , then Mathematics with 55 % , then Arts with just 32 % and Literature with the least women representation at 24 % .
PLOTTITLE[minority representation in the parliament of Lybia], XLABEL[years], XSTART[from], XHIGHEST[1990], XEND[-], XFIFTH[2019], YLABEL[representation], XLEAST[2010], XFIFTH[2019], XHIGHEST[Between 1990-94], YHIGHESTAPPROX[14], YUNIT[%], YLABEL[representation], XSECOND[1995-99], YSECOND[12], YUNIT[%], YLABEL[representation], XTHIRD[2000-04], YTHIRDAPPROX[8.5], YUNIT[%], XFOURTH[2005-09], YFOURTHAPPROX[8], YUNIT[%], XLEAST[2010-13], YLEASTAPPROX[6], YUNIT[%], XFIFTH[2015-19], YFIFTHAPPROX[7], YUNIT[%]	Here we have a bar chart showing the minority representation in the parliament of Lybia across years starting from 1990 - 2019 . The representation seems to have steadily decreased over the years hitting it 's lowest in 2010 and increasing slightly by the end of 2019 . \\n Between 1990-94 there was just under 14 % representation . 1995-99 - a 12 % representation , 2000-04 8.5 % , 2005-09 just under 8 % , 2010-13 just over 6 % and 2015-19 around 7 % .
PLOTTITLE[average time spent on social media daily in Maputo within different age groups], XSTART[from], XLABEL[age], XLEAST[15], XEND[to], XHIGHEST[64], XSECOND[aged 15-24], YSECONDAPPROX[120], YUNIT[minutes], T1AY[social media], GRFOURTHLEAST[aged 25-34 and 35-44], YLABEL[time], GRYFOURTHLEAST[80], YUNIT[minutes], T1AY[social media], XHIGHEST[between age 45-54], YLABEL[time], T1AY[social media], YHIGHEST[150], YUNIT[minutes], XTHIRD[between 55-64], YTHIRD[110], T1AY[social media]	This chart shows the average time spent on social media daily in Maputo within different age groups varying from age 15 to 64 . \\n \\n From the chart , we can see that those aged 15-24 spend just over 120 minutes on social media . Those aged 25-34 and 35-44 spend much less time with just under 80 minutes on social media . \\n \\n This increases largely with those between age 45-54 spending the most time on social media , about 150 minutes . \\n \\n Lastly , this declines largely with those between 55-64 who spend about 110 on social media .
T1AB[Women's], T1AY[median], YLABEL[salary], YLEAST[40], YMAG[,000], XLEAST[2000], YTHIRD[45], YMAG[,000], XTHIRD[2005], YSECOND[50], YMAG[,000], XSECOND[2010], YHIGHEST[55], YMAG[,000], XHIGHEST[2015]	Women's median salary has been tranding upwards , rising from 40 ,000 in 2000 to 45 ,000 in 2005 , 50 ,000 in 2010 , to 55 ,000 in 2015
YLABEL[gender pay gap percentage], COUNT[3], T0AX[European], XLABEL[countries], T1AB[year 2017], XLEAST[Spain], XLABEL[country], YLABEL[gender pay gap], YLEASTAPPROX[14], YUNIT[%], XSECOND[UK], YLABEL[pay gap], COUNT[3], XLABEL[countries], YSECOND[20.5], YUNIT[%], YLABEL[gap], XHIGHEST[Germany's], YLABEL[gender pay gap], XSECOND[UK], YHIGHEST[21], YUNIT[%]	This chart shows the gender pay gap percentage in 3 different European countries in the year 2017 . \\n \\n From this chart , we can see that Spain was the country with the smallest gender pay gap of 14 % . The UK has the second largest pay gap of the 3 countries with a 20.5 % gap . Germany's gender pay gap is the highest , but only slightly higher than the UK at 21 % .
PLOTTITLE[money spent on higher education in the year 2010], XLEAST[North America], YLEASTAPPROX[148], YMAG[million], YUNIT[pounds], XSECOND[Europe], YSECONDAPPROX[270], YMAG[million], YUNIT[pounds], XTHIRD[Asia], YTHIRDAPPROX[170], YMAG[million], YUNIT[pounds], XHIGHEST[Africa], YHIGHESTAPPROX[290], YMAG[million], YUNIT[pounds]	The chart shows the money spent on higher education in the year 2010 . \\n \\n North America spent 148 million pounds . Europe spent 270 million pounds . Asia 170 million pounds and Africa spent the most with 290 million pounds .
